SubjectID,SubjectName
1,Physics
2,Maths
3,Comp Sci
4,Art
5,Chemistry
6,Biology
7,Drama
8,Languages
9,English
10,Business
11,D&T
12,Economics
13,Psychology
14,History
15,Geography
16,Politics
17,Music
18,Religious Studies
19,Further Maths
